Token,p,log_p,potential_stream,reconstructed_turbulence
The,0.000000,0.000000,0.0006732787246435543,-0.531624
28,0.000087,-9.351562,0.5322977053588264,0.531623
th,0.084900,-2.466797,0.0006742146018914314,-7.586565
Crit,0.000077,-9.468750,7.587239419516038,3.072316
ics,0.884277,-0.122986,4.514923802952256,-4.189147
',0.614258,-0.487305,8.704070502606866,2.668586
Choice,0.908691,-0.095825,6.035484549735691,4.929396
Awards,0.893066,-0.112549,1.1060884820814285,-2.654977
were,0.193237,-1.643555,3.761065416321618,1.213012
presented,0.493408,-0.706543,2.54805342166772,-3.876577
on,0.519531,-0.654785,6.424630107488802,5.314292
January,0.945801,-0.056030,1.1103380517240933,-2.316105
15,0.147705,-1.912109,3.4264435183640565,3.426299
",",0.996094,-0.003899,0.00014408308959155548,-0.059528
20,0.000029,-10.453125,0.05967247241556371,-1.252958
23,0.011330,-4.480469,1.312630200785054,-1.101829
",",0.381592,-0.962891,2.414459629805872,0.117245
at,0.423584,-0.859375,2.2972150227524097,2.296914
the,0.691406,-0.368896,0.00030148413969748115,-8.539040
Fair,0.000031,-10.375000,8.539341894592786,8.525454
mont,0.842285,-0.171875,0.013888202722069969,-7.216281
Century,0.001414,-6.562500,7.2301696241685285,0.653343
Plaza,0.749023,-0.289551,6.57682659744449,3.135405
Hotel,0.751465,-0.285889,3.4414218254533244,-3.441690
in,0.830078,-0.185791,6.8831121545948575,-2.076536
Los,0.771484,-0.259277,8.959647728369093,6.094200
Angeles,1.000000,0.000000,2.8654473736907256,-0.856695
",",0.833008,-0.183350,3.722142255675002,3.015858
California,0.405762,-0.902344,0.7062840683686695,-6.141417
",",0.205322,-1.582031,6.847701176760031,-2.002747
hon,0.818359,-0.200195,8.8504484364041,5.875101
oring,1.000000,0.000000,2.9753477060225424,-1.430218
the,0.895508,-0.109924,4.405565317915274,-3.614515
finest,0.406738,-0.899414,8.020080806288199,6.317992
achievements,0.849121,-0.163574,1.7020890040336916,1.700210
of,0.433105,-0.836426,0.001878709746857744,-10.601248
filmm,0.000173,-8.656250,10.603126516869583,9.343370
aking,0.999512,-0.000976,1.2597568349938815,0.741001
and,0.301270,-1.199219,0.5187555805665405,-0.025093
television,0.065552,-2.726562,0.5438484398193151,-1.334763
programming,0.055878,-2.884766,1.8786114435415795,1.878292
in,0.453125,-0.791504,0.0003191261819052634,-1.644585
20,0.000064,-9.656250,1.64490459979802,-2.106924
22,0.258057,-1.355469,3.751828314783194,0.901234
.,0.959961,-0.041138,2.850594314438133,-1.104587
The,0.554199,-0.590332,3.955181303385723,-0.517621
ceremony,0.563477,-0.574219,4.472802628390978,2.629973
was,0.932617,-0.069763,1.842829679714796,-1.100364
broadcast,0.211304,-1.554688,2.9431932849902522,1.306927
on,0.600098,-0.511230,1.6362662518558975,-9.455719
The,0.318115,-1.145508,11.09198565941748,10.567257
CW,0.997559,-0.001951,0.5247285358078242,-3.455529
and,0.125488,-2.074219,3.9802572356659773,-0.755894
hosted,0.512695,-0.668457,4.73615140662941,4.732482
by,0.925293,-0.077942,0.0036696172512506588,-5.330582
Chelsea,0.000339,-7.992188,5.3342515469298455,4.997906
Handler,0.479736,-0.735352,0.3363457424276482,0.329824
",",0.097778,-2.324219,0.006521837255855615,-1.686777
taking,0.000731,-7.218750,1.6932984919246106,0.899169
over,0.235596,-1.445312,0.7941290633031812,0.457440
the,0.239014,-1.430664,0.33668941064803265,-4.690414
reins,0.031738,-3.449219,5.027103389065213,4.806374
from,0.849609,-0.162720,0.22072958145688282,-2.146006
