Token,p,log_p,potential_stream,reconstructed_turbulence
The,0.000000,0.000000,0.00010959257525223565,-0.684492
67,0.000011,-11.445312,0.6846014341387063,0.658994
th,0.109192,-2.214844,0.025607033570281414,-7.796256
British,0.003313,-5.710938,7.821863239639314,0.319770
Academy,0.964844,-0.035492,7.50209287725658,0.866030
Film,0.960449,-0.040192,6.636063110726339,6.227703
Awards,0.981934,-0.018387,0.4083598433344418,-0.303111
",",0.118713,-2.130859,0.7114710862460719,-7.845115
more,0.092834,-2.376953,8.55658589066412,1.264622
commonly,0.966797,-0.033600,7.291964166008476,1.629261
known,0.994141,-0.005844,5.662703604527997,2.345045
as,0.988770,-0.011650,3.3176587016445467,-5.911429
the,0.998535,-0.001951,9.229087232149512,0.343705
BA,0.948242,-0.053253,8.885382693028667,-0.536087
FT,0.886719,-0.120361,9.421469364487349,6.120998
As,0.990723,-0.009720,3.3004713301889073,-0.525770
",",0.959473,-0.041138,3.826241647427607,0.324014
were,0.668457,-0.402832,3.5022281394475674,-1.071815
held,0.595703,-0.518555,4.5740432663396104,4.365190
on,0.932617,-0.069763,0.2088532744836985,-6.356197
16,0.027435,-3.595703,6.565049876050142,6.362316
February,0.983887,-0.016464,0.20273381811690216,-4.782047
2014,0.038422,-3.259766,4.984780630527165,1.761217
at,0.874512,-0.134155,3.2235637360233325,-5.530467
the,0.970215,-0.030777,8.75403081272781,-1.667801
Royal,0.977051,-0.023163,10.421832218828333,2.264531
Opera,0.982422,-0.017426,8.157301255844157,5.430481
House,1.000000,0.000000,2.72682070522684,-4.848176
in,0.657715,-0.418945,7.574997171160676,5.097544
London,0.968262,-0.032654,2.4774530341112664,-5.983590
",",0.720215,-0.327637,8.46104298552356,1.213112
honour,0.922363,-0.080627,7.247930966814574,3.930272
ing,1.000000,0.000000,3.3176587016445467,-4.363734
the,0.998535,-0.000976,7.681392261141012,2.807077
best,0.999512,0.000000,4.874314786621236,0.694862
national,0.625000,-0.470459,4.179452578982942,-3.174362
and,0.999512,-0.000976,7.353814733905469,-0.981337
foreign,0.867188,-0.142700,8.335151497382718,4.407106
films,0.982910,-0.017426,3.9280453114509206,-3.073369
of,0.999512,-0.000976,7.001414111485141,3.100734
2013,0.999023,-0.000976,3.9006800993981936,1.180686
.,0.998047,-0.001951,2.719994398710571,1.316631
The,0.528809,-0.637207,1.4033630873393907,-4.192061
nominations,0.185303,-1.685547,5.595424235317801,-1.458858
were,0.977539,-0.022217,7.054281978444452,2.741271
announced,0.996094,-0.003899,4.3130114778416955,4.006353
on,0.879395,-0.129028,0.30665886798496333,-6.416483
8,0.040283,-3.212891,6.723141573505318,1.686197
January,0.989746,-0.010681,5.036945060124464,2.975032
2014,0.954590,-0.046753,2.061912881514123,1.030665
by,0.402832,-0.909180,1.03124769490493,1.029592
actor,0.111206,-2.197266,0.0016553727409039766,-10.954599
Luke,0.000156,-8.765625,10.956254067892546,8.824672
Evans,0.985352,-0.014542,2.131582067639566,-6.194221
and,0.509766,-0.673340,8.325803044324479,8.057224
actress,0.810547,-0.209717,0.26857888672996005,-6.898049
Helen,0.024155,-3.722656,7.166628032516433,-1.683820
McC,0.644531,-0.439453,8.8504484364041,-1.421386
r,1.000000,0.000000,10.271834117335262,7.361591
ory,1.000000,0.000000,2.9102432248445425,2.901834
.,0.744629,-0.294678,0.008409554792754967,-5.650624
Present,0.000839,-7.082031,5.659033818722372,0.810414
ed,0.764160,-0.269043,4.848619381984725,4.361516
by,0.947266,-0.054169,0.4871036797891321,-6.992922
the,0.146606,-1.919922,7.480025317957529,-0.599136
British,0.967773,-0.032654,8.079161372522186,4.151116
Academy,0.996582,-0.003899,3.9280453114509206,-3.879166
of,0.999512,-0.000976,7.807211042066202,3.625717
Film,0.999512,0.000000,4.181494324258459,-4.347370
and,1.000000,0.000000,8.52886481227664,0.242946
Television,1.000000,0.000000,8.285918633666249,6.493754
Arts,1.000000,0.000000,1.7921643304384551,1.281174
",",0.520996,-0.652344,0.510990343757416,-8.343662
acc,0.049011,-3.015625,8.854651856552268,-0.655042
ol,0.988281,-0.011650,9.509694065288365,4.266429
ades,1.000000,0.000000,5.243264668060037,-4.707575
were,0.916016,-0.087830,9.950839301168534,2.023554
handed,0.968750,-0.031708,7.927284825242184,2.461991
out,1.000000,0.000000,5.465293641822912,2.142768
for,0.996094,-0.003899,3.3225256826249545,-4.253796
the,1.000000,0.000000,7.576321922444407,0.324217
best,0.985840,-0.014542,7.2521045912771145,5.984856
feature,0.745117,-0.293945,1.267248886819378,-8.262285
-,0.253174,-1.373047,9.529533604949705,1.947689
length,0.927734,-0.075195,7.58184432825225,5.389010
film,0.972168,-0.027924,2.1928344259050707,-4.582035
and,0.524414,-0.645020,6.774869870291756,-3.358483
document,0.717285,-0.331787,10.133352381583439,6.205307
aries,0.999512,0.000000,3.9280453114509206,-0.942410
of,0.999512,0.000000,4.870455309390539,-5.323464
any,0.545898,-0.604980,10.193919387005051,4.877214
nationality,0.960938,-0.040192,5.316705575164649,-0.348592
that,0.921875,-0.081543,5.665297165329262,-4.280527
were,0.989746,-0.010681,9.945823757165929,4.460060
screened,0.968262,-0.032654,5.485763608469594,-1.265884
at,0.962402,-0.038330,6.751647474180635,-3.414860
British,0.873535,-0.135010,10.166507693280554,-0.441799
cin,0.989746,-0.009720,10.608306353956475,6.705329
emas,1.000000,0.000000,3.9029772232200055,-3.064217
in,0.941406,-0.060638,6.967194101165076,4.285954
2013,0.994141,-0.005844,2.6812404792830047,2.681238
.,0.686035,-0.376465,1.9882557352285025e-06,-9.164262
Grav,0.000000,-15.601562,9.164263604225095,6.240645
ity,0.999023,-0.000976,2.9236188862153694,2.279425
won,0.383545,-0.958496,0.6441934218761469,0.573793
six,0.071899,-2.632812,0.07040066554169792,-5.467066
of,0.017914,-4.023438,5.537466541299634,1.896459
its,0.769043,-0.262207,3.6410078452869543,-3.817710
eleven,0.377197,-0.974609,7.458717647334786,5.429726
nominations,0.984863,-0.015503,2.0289920442077354,-3.654419
",",0.589844,-0.527832,5.683411019987987,0.472247
including,0.746582,-0.292480,5.211164393869861,4.361278
Best,0.605469,-0.501953,0.8498868330635831,-3.667018
Director,0.086548,-2.447266,4.5169044510359955,-3.486795
for,0.823242,-0.194580,8.003699033010717,-3.115433
Al,0.989258,-0.010681,11.119131977722466,2.367124
fon,1.000000,0.000000,8.752008363590848,-2.345407
so,1.000000,0.000000,11.097414923078476,4.001287
Cu,0.998047,-0.001951,7.096128341983185,-3.304402
ar,0.919434,-0.084229,10.400530732716323,8.584852
Ã³n,0.997559,-0.002926,1.8156791388978162,1.689889
",",0.527832,-0.639648,0.12578984420960473,-10.482517
Out,0.012810,-4.355469,10.608306353956475,3.075445
standing,1.000000,0.000000,7.532861016469842,-0.121791
British,0.974609,-0.026031,7.654651959661391,6.001057
Film,0.979980,-0.020294,1.653594923445791,-1.309204
",",0.480713,-0.732422,2.9627991110308485,-1.625230
Best,0.344238,-1.066406,4.588028707432772,-5.837956
Cin,0.423584,-0.859375,10.42598479716252,0.449501
emat,1.000000,0.000000,9.976484202139565,8.460619
ography,0.995605,-0.003899,1.5158653310409613,-4.132364
",",0.440674,-0.819336,5.648229794646043,2.525016
Best,0.656250,-0.421631,3.1232137075484405,-4.161121
Original,0.299561,-1.205078,7.284334440656384,4.472635
Music,0.887207,-0.119507,2.811699240069329,-2.609593
",",0.817383,-0.201050,5.421291990396871,-0.487315
Best,0.629883,-0.461670,5.908606904356524,4.737905
Sound,0.512695,-0.668457,1.1707015354410526,-2.688197
",",0.340332,-1.078125,3.8588985707268004,-3.495567
and,0.922852,-0.080627,7.354465878445368,3.473397
